Driver,LapNumber,LapTime,Stint,TyreLife,Sector1Time,Sector2Time,Sector3Time,SpeedFL,SpeedST,AirTemp,TrackTemp,Humidity,WindSpeed,Team_ALFA ROMEO,Team_ALPHATAURI,Team_ALPINE,Team_ASTON MARTIN,Team_FERRARI,Team_HAAS F1 TEAM,Team_MCLAREN,Team_MERCEDES,Team_RED BULL RACING,Team_WILLIAMS,Compound_HARD,Compound_MEDIUM,Compound_SOFT,FreshTyre_FALSE,FreshTyre_TRUE,TrackStatus_1,TrackStatus_12,TrackStatus_126,TrackStatus_21,TrackStatus_2671,TrackStatus_671,Rainfall_FALSE,IsPersonalBest_FALSE,IsPersonalBest_TRUE
18,-0.5478014976634622,-0.7283780237093758,-0.3797157977133944,-0.8102988231523832,-0.42841613861534444,-0.6539943845560966,-0.9126782259570065,-0.6141405065342891,-1.1377197206593548,0.45207572823399056,0.5330726353215343,-0.27438062259938295,-0.46279383122060536,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-0.48625404505058123,-0.691326401847957,-0.3797157977133944,-0.6418690608775799,-0.5663865686850906,-0.4368637887769268,-0.9665053981828846,-0.6141405065342891,-0.9529808995741851,0.45207572823399056,0.3966360437969755,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-0.4247065924377002,-0.7917557979460232,-0.3797157977133944,-0.4734392986027766,-0.6099561781808027,-0.703467178531089,-0.9535868768486745,-0.6141405065342891,-0.7682420784890154,0.45207572823399056,0.3966360437969755,-0.27438062259938295,-0.46279383122060536,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True
18,-0.3631591398248192,-0.7581168254665731,-0.3797157977133944,-0.3050095363279733,-0.47440628197192364,-0.7364490411810904,-0.8739226619543763,-0.2518714350253829,-0.8606114890316002,0.1455590873041358,0.2601994522724216,-0.27438062259938295,-0.029566242988361767,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-0.30161168721193815,-0.8063814381544729,-0.3797157977133944,-0.13657977405316998,-0.6462641860938961,-0.7831733466019226,-0.8610041406201662,-0.2518714350253829,-0.6758726679464305,-0.16095755362572983,0.12376286074786279,-0.27438062259938295,-0.029566242988361767,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True
18,-0.24006423459905715,-0.8868224593009842,-0.3797157977133944,0.03184998822163333,-0.6656284569808764,-0.9425856827435899,-0.9492807030705993,-0.6141405065342891,-1.1377197206593548,-0.16095755362572983,-0.012673730776696004,-0.27438062259938295,-0.46279383122060536,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True
18,-0.17851678198617613,-0.8941352794052125,-0.3797157977133944,0.20027975049643665,-0.6656284569808764,-1.0167948737060932,-0.8653103143982412,-0.2518714350253829,-0.8606114890316002,-0.16095755362572983,-0.012673730776696004,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True
18,-0.11696932937329511,-0.7430036639178323,-0.3797157977133944,0.3687095127712399,-0.5010321544415226,-0.7570627053373414,-0.7511967092793879,-0.2518714350253829,-1.691936183914864,-0.16095755362572983,-0.012673730776696004,-0.27438062259938295,-0.029566242988361767,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,-0.05542187676041409,-0.890722630023237,-0.3797157977133944,0.5371392750460433,-0.8253836917984787,-1.0099236523206827,-0.7189004059438625,-0.2518714350253829,-0.5835032574038457,-0.16095755362572983,-0.012673730776696004,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.006125575852466929,-0.7581168254665731,-0.3797157977133944,0.7055690373208465,-0.7455060743896819,-0.7282035755185902,-0.645695451716677,-0.2518714350253829,-0.5835032574038457,0.1455590873041358,-0.012673730776696004,-0.27438062259938295,-0.029566242988361767,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.06767302846534795,-0.7971185326891217,-0.3797157977133944,0.8739987995956499,-0.9076818430681513,-0.7570627053373414,-0.6284707566043994,0.47266670799242944,-0.4911338468612609,-0.16095755362572983,-0.012673730776696004,-0.27438062259938295,1.2701165217083694,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.12922048107822898,-0.8078440021753186,-0.3797157977133944,1.0424285618704532,-0.5688071025459664,-0.8807446902748469,-0.7834930126149131,0.47266670799242944,-0.21402561523350636,-0.4674741945555846,-0.2855469138258087,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.19076793369110998,-0.8653715203285836,-0.3797157977133944,1.2108583241452564,-0.9197845123725215,-0.8518855604560956,-0.770574491280703,0.11039763648352328,-0.3063950257760912,-0.16095755362572983,-0.2855469138258087,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.25231538630399103,-0.7386159718552954,-0.3797157977133944,1.3792880864200598,-0.6801516601461137,-0.7708051481081721,-0.5509596285991387,0.47266670799242944,-0.1216562046909215,-0.16095755362572983,-0.42198350535036266,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.313862838916872,-0.7410535785567025,-0.3797157977133944,1.547717848694863,-0.7455060743896819,-0.7955415450956732,-0.4648361530377431,0.11039763648352328,-0.029286794148336657,-0.16095755362572983,-0.42198350535036266,-0.27438062259938295,0.4036613452438818,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.375410291529753,-0.6664628134935808,-0.3797157977133944,1.7161476109696665,-0.7043569987548369,-0.6443746746165063,-0.40885589392283517,0.47266670799242944,-0.21402561523350636,-0.16095755362572983,-0.42198350535036266,-0.27438062259938295,-0.029566242988361767,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.43695774414263405,-0.6611000787504824,-0.3797157977133944,1.8845773732444697,-0.5058732221632741,-0.8024127664810934,-0.3141200708052969,0.11039763648352328,0.15545202693683305,-0.4674741945555846,-0.42198350535036266,-0.27438062259938295,-0.029566242988361767,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.4985051967555151,0.8570413748872565,-0.3797157977133944,2.053007135519273,-0.16941901550194782,-0.6897247357602583,2.340636063374782,-0.2518714350253829,-0.21402561523350636,-0.16095755362572983,-0.42198350535036266,-0.27438062259938295,-0.46279383122060536,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False
18,0.560052649368396,2.3297214635437054,0.6217846187556836,-1.4840178722515964,2.4374959526580366,-1.39196356134985,-1.3368363430968875,-0.2518714350253829,-2.1306908839921417,-0.4674741945555846,-0.42198350535036266,-0.27438062259938295,-0.46279383122060536,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,False
18,0.6216001019812771,-1.418220720208222,0.6217846187556836,-1.3155881099767932,-0.9343077155377588,-1.8028626001977688,-1.7093203748999355,-0.2518714350253829,-1.2300891312019397,-0.4674741945555846,-0.5584200968749214,-0.27438062259938295,-0.46279383122060536,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True
